qc_job_name|qc_co_name|qc_job_loc|qc_job_pay|qc_job_date|qc_co_type|qc_co_ee_size|qc_co_tags|qc_co_desc|qc_co_address
B2B外贸业务员（氛围好+提成高+海外参展机会）|深圳市宜视安科技有限公司|深圳-龙岗区|3.5-5千/月|06-12|民营公司  |  50-150人  |  办公用品及设备互联网/电子商务||公司地址：龙岗区坂田杨美龙景路4号6楼(邮编：518000)
海外代理开发（高提成、绩效奖金、五险一金、旅游）|亿胜国际物流有限公司|深圳-罗湖区|0.8-1万/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：深圳市罗湖区宝安南路振业大厦B座1002室(邮编：518001)
海外航线开发专员|慕佰仕物流（上海）有限公司|厦门|4-8千/月|06-12|外资（欧美）  |  少于50人  |  交通/运输/物流||公司地址：上海市安远路518号宝华城市晶典大厦306室(邮编：200060)
海外代理单证/客服（旅游，体检，票数奖励）|宁波亿胜国际物流有限公司|宁波-江东区|3-6千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：宁波市江东区惊驾路668号银晨国际1幢2002室(邮编：315040)
海外运维工程师|广州飞屋网络科技有限公司|广州|1-2万/月|06-12|民营公司  |  150-500人  |  互联网/电子商务金融/投资/证券||公司地址：广州市番禺区小谷围街中二横路22号国家数字基地创业楼A401(邮编：510006)
海外仓储跨境物流客服专员|深圳市中达外运物流有限公司|深圳-福田区|4.5-6千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流互联网/电子商务||公司地址：福田区深南中路3018号世纪汇都会轩1502室(邮编：518000)
海外留学背景授薪律师助理|广东固法律师事务所|广州|6-8千/月|06-12|民营公司  |  少于50人  |  法律||公司地址：广州市珠江新城华夏路30号富力盈通大厦3702-3703A(邮编：510623)
海外发展经理|上海奥龙国际物流有限公司|上海-浦东新区|1-1.5万/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：上海市虹口区武进路456号（离四川北路地铁站600m）(邮编：201202)
海外房产置业销售经理|瑞安伟业（北京）置业咨询有限公司|北京-东城区|1.5-2万/月|06-12|外资（非欧美）  |  50-150人  |  房地产专业服务(咨询、人力资源、财会)||公司地址：东城区朝阳门内大街银河SOHOA座12层11210(邮编：100020)
实习海外业务 Internship Job for Overseas Business|广州市万国国际货运代理有限公司|广州-海珠区|1-1.5万/月|06-12|民营公司  |  少于50人  |  贸易/进出口交通/运输/物流||公司地址：广州市海珠区广州大道南(邮编：510000)
客户经理/海外助理/跟单/销售助理|上海松耐机械制造有限公司|上海|4.5-6千/月|06-12|民营公司  |  50-150人  |  机械/设备/重工仪器仪表/工业自动化||公司地址：上海漕河泾开发区莘砖公路518号22幢1-3A(靠近莘庄)(邮编：201612)
海外保险咨询专员|汇中普惠财富投资管理（北京）有限公司南京分公司|南京|1-1.5万/月|06-12|民营公司  |  500-1000人  |  金融/投资/证券||公司地址：南京市汉中路2号金陵饭店亚太商务楼AD座(邮编：210000)
海外采购/国际采购工程师|深圳市有棵树科技有限公司|深圳-龙岗区|1-2万/月|06-12|上市公司  |  1000-5000人  |  贸易/进出口互联网/电子商务||公司地址：深圳市龙岗区平湖华南城1号交易广场6楼A区(邮编：518111)
海外项目经理助理|上海智右商务咨询有限公司|上海-浦东新区|6-8千/月|06-12|民营公司  |  少于50人  |  互联网/电子商务贸易/进出口||公司地址：上海市浦东新区商城路297号申金大厦807室(邮编：200120)
设计实习生（海外背景）|羡淳（上海）信息科技有限公司|上海-徐汇区|150元/天|06-12|民营公司  |  50-150人  |  互联网/电子商务快速消费品(食品、饮料、化妆品)||公司地址：徐家汇云锦路500号绿地汇中心A栋2502室(邮编：200232)
亚马逊海外Deals站推广专员|深圳市香蕉科技有限公司|深圳-宝安区|4.5-9千/月|06-12|民营公司  |  150-500人  |  电子技术/半导体/集成电路贸易/进出口||公司地址：深圳市宝安区西乡街道固戍工业区庄边工业园D栋3楼(邮编：518057)
海外互联网推广|茂松软件有限公司成都分公司|南充|0.5-1万/月|06-12|外资（欧美）  |  150-500人  |  互联网/电子商务||公司地址：武侯区人民南路三段17号(邮编：610041)
海外房产投资顾问|东莞市住博置业投资顾问有限公司|东莞-南城区|6-8千/月|06-12|民营公司  |  少于50人  |  房地产||公司地址：东莞市南城区鸿福路与元美路交汇处财富广场B栋13A06号(邮编：523000)
海外销售人员|张家口市宣化金科钻孔机械有限公司|张家口|6-8千/月|06-12|民营公司  |  150-500人  |  机械/设备/重工||公司地址：河北省张家口市宣化区钟楼大街142号(邮编：000000)
海外销售总监|青岛绿洲智健科技有限公司|深圳-南山区|30-40万/年|06-12|民营公司  |  50-150人  |  互联网/电子商务家具/家电/玩具/礼品||公司地址：深圳市南山区侨香路智慧广场B1栋14楼（海尔婴童）(邮编：518057)
高薪聘海外现场管理人员（驻外）|山东兆博实业有限公司|异地招聘|0.8-1.5万/月|06-12|外资（非欧美）  |  500-1000人  |  贸易/进出口||公司地址：济南市天桥区蓝翔路57号泉利重配城12-101(邮编：250000)
海外优化师（北京or深圳）|深圳蓝贝科技有限公司|异地招聘|0.8-1.5万/月|06-12|民营公司  |  50-150人  |  互联网/电子商务||公司地址：南山区粤兴五道北理工创新大厦11层(邮编：518000)
海外游戏商务/销售代表|南京三叠色信息科技有限公司|南京-建邺区|0.6-1万/月|06-12|民营公司  |  50-150人  |  网络游戏外包服务||公司地址：南京市雨花台区花神庙10号2幢5楼508（近安德门地铁站）(邮编：210000)
海外采购主管|中山亿光照明有限公司|中山|6-8千/月|06-12|外资（非欧美）  |  50-150人  |  家居/室内设计/装潢||公司地址：广东省中山市小榄镇工业大道南8号(邮编：528425)
指定货客服/海外联络|上海衍翊国际货物运输代理有限公司|上海-虹口区|4.5-6千/月|06-12|合资  |  少于50人  |  交通/运输/物流||公司地址：上海市杨浦区昆明路518号(邮编：200082)
整车海外采购|天津恒九源贸易有限公司|天津-滨海新区|6-8千/月|06-12|民营公司  |  少于50人  |  汽车及零配件贸易/进出口||公司地址：天津港保税区海滨2路85号美泰(邮编：300461)
年薪15万起诚聘—海外高端房产销售|沈阳环球广和出国咨询有限公司|沈阳-沈河区|0.8-1万/月|06-12|民营公司  |  少于50人  |  中介服务专业服务(咨询、人力资源、财会)||公司地址：沈阳市沈河区青年大街121号嘉里中心企业广场A座2001室(邮编：110000)
海外客服代表|深圳市稳捷国际货运代理有限公司|深圳-福田区|4-6千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流公关/市场推广/会展||公司地址：深圳市福田区都市阳光名苑2栋13A(邮编：518041)
海外区域销售工程师|杭州锅炉集团有限公司|杭州-江干区|6-8万/年|06-12|上市公司  |  1000-5000人  |  机械/设备/重工环保||公司地址：杭州市江干区大农港路1216号(邮编：310004)
销售经理（海外展会）高薪+出国|深圳市沃尔德会展策划有限公司|深圳-罗湖区|1-1.5万/月|06-12|民营公司  |  50-150人  |  公关/市场推广/会展||公司地址：深圳市罗湖区宝安南路2014号振业大厦A座8A(邮编：518000)
海外教育运营总监|山东安信达出国咨询有限公司|济南|1.5-3万/月|06-12|合资  |  50-150人  |  专业服务(咨询、人力资源、财会)教育/培训/院校||公司地址：共青团路绿地普利中心3505(邮编：250000)
海外投资顾问|康宏爱飞（深圳）国际投资咨询有限公司广州分公司|广州-天河区|1-1.5万/月|06-12|上市公司  |  1000-5000人  |  金融/投资/证券||公司地址：黄埔大道西76号富力盈隆大厦3010-3012(邮编：510627)
海外销售（外贸）|深圳市四十大道电子商务有限公司|深圳|0.7-1.5万/月|06-12|ÃñÓª¹«Ë¾  |  150-500ÈË  |  »¥ÁªÍø/µç×ÓÉÌÎñÃ³Ò×/½ø³ö¿Ú||¹«Ë¾µØÖ·£ºÉîÛÚÊÐ±¦°²67ÇøÂ¡²ýÂ·8ºÅ·ÉÑï¿Æ¼¼Ô°A¶°4Â¥(ÓÊ±à£º518100)
海外仓运营专员|上海次方信息技术有限公司|上海-嘉定区|3-4.5千/月|06-12|民营公司  |  150-500人  |  互联网/电子商务||公司地址：上海市嘉定区南翔银翔路819号中暨大厦(邮编：200042)
海外部客服|上海瑞风国际物流有限公司|上海-虹口区|0.8-1万/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：欧阳路85号金陵国际大厦1908室(邮编：200081)
大客户经理+五险一金+海外旅游|实践家管理咨询（上海）有限公司南京分公司|南京|4.5-6千/月|06-12|民营公司  |  150-500人  |  教育/培训/院校||公司地址：南京市建邺区江东中路313号中泰国际大厦2栋2单元904(邮编：210029)
海外营销助理/经理助理/业务储干|广东奥玛健身器材有限公司|佛山|4-4.9千/月|06-12|ÃñÓª¹«Ë¾  |  500-1000ÈË  |  »úÐµ/Éè±¸/ÖØ¹¤||¹«Ë¾µØÖ·£º¹ã¶«Ê¡·ðÉ½ÊÐË³µÂÇø±±œòÕò³Â´óœò¹¤ÒµÇø´´ÒµÒ»Â·1ºÅ(ÓÊ±à£º528311)
海外销售经理|昆山新莱洁净应用材料股份有限公司|异地招聘|12-36万/年|06-12|合资  |  500-1000人  |  机械/设备/重工医疗设备/器械||公司地址：江苏省昆山市陆家镇陆丰西路22号(邮编：215300)
海外销售|杭州博偲特网络科技有限公司|杭州-滨江区|4.5-8千/月|06-12|ÃñÓª¹«Ë¾  |  ÉÙÓÚ50ÈË  |  »¥ÁªÍø/µç×ÓÉÌÎñ¼ÆËã»ú·þÎñ(ÏµÍ³¡¢Êý¾Ý·þÎñ¡¢Î¬ÐÞ)||¹«Ë¾µØÖ·£ºº¼ÖÝÊÐ±õ½­ÇøÇïÒçÂ·601ºÅÔÆºü¿Æ¼¼Ô°3ºÅÂ¥5²ã505ÊÒ(ÓÊ±à£º310052)
物流货代海外市场销售|上海汇致国际货物运输代理有限公司|上海-长宁区|3.9-4.4千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：上海市长宁区中山西路933号2307-2308室(邮编：200051)
海外市场开发|宁波舜宇红外技术有限公司|宁波|0.6-1万/月|06-12|外资（非欧美）  |  50-150人  |  电子技术/半导体/集成电路办公用品及设备||公司地址：浙江省余姚市舜科路27-29号(邮编：315400)
海外旅游销售经理|上海至活旅行社有限公司|上海-静安区|0.8-1万/月|06-12|外资（欧美）  |  50-150人  |  酒店/旅游||公司地址：上海市静安区北京西路1250号泛太平洋9楼(邮编：200030)
海外客服 Overseas CS|菲拉国际货运代理（上海）有限公司|上海|3.5-7千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：普陀区白兰路137弄绿洲广场A座2311室(邮编：200080)
海外旅游定制师|上海探驰信息科技有限公司|上海|6-8千/月|06-12|合资  |  少于50人  |  互联网/电子商务||公司地址：上海市黄浦区北京东路666号科技京城群楼906-12(邮编：200001)
客服专员/海外客服/客服助理/客服代理|上海鸿茂国际物流有限公司|上海-虹口区|4-7千/月|06-12|合资  |  50-150人  |  交通/运输/物流||公司地址：上海市虹口区中山北一路82号7楼(邮编：200083)
海外置业顾问/专业顾问/销售经理(急聘)|北京墨场文化交流有限公司|北京-海淀区|3-4.5千/月|06-12|民营公司  |  少于50人  |  中介服务专业服务(咨询、人力资源、财会)||公司地址：北京市海淀区中关村南大街34号中关村科技发展大厦C座(邮编：100081)
海外业务拓展|金联创网络科技有限公司|北京|5-7千/月|06-12|合资  |  1000-5000人  |  互联网/电子商务石油/化工/矿产/地质||公司地址：北京朝阳区安外胜古中路2号院6号楼企发大厦C座北京(邮编：100029)
海外销售|深圳市骅福瑞科技有限公司|深圳-南山区|2-2.5万/月|06-12|民营公司  |  50-150人  |  通信/电信/网络设备贸易/进出口||公司地址：深圳市南山区桃源街道金骐智谷14楼1401、1402房(邮编：518000)
海外客服|威狮国际货运代理（上海）有限公司|上海-黄浦区|0.6-1万/月|06-12|民营公司  |  50-150人  |  交通/运输/物流||公司地址：建国东路525号巴士大厦1203-1204(邮编：200025)
初级海外房产销售|铠施商务咨询（上海）有限公司|上海-黄浦区|1.5-2万/月|06-12|合资  |  少于50人  |  房地产金融/投资/证券||公司地址：上海市黄浦区西藏中路268号来福士办公楼51楼(邮编：200001)
海外SEO/SEM主管|深圳市亚飞电子商务有限公司|深圳-龙岗区|0.8-1.2万/月|06-12|民营公司  |  150-500人  |  贸易/进出口||公司地址：深圳市龙岗区坂田贝尔2路新天下工业城10楼（神舟电脑大厦南大厅）(邮编：518129)
海外销售（海外大客户，国际贸易，贸易销售）|上海兔洞电子科技有限公司|上海-普陀区|0.8-1.2万/月|06-12|民营公司  |  少于50人  |  电子技术/半导体/集成电路家具/家电/玩具/礼品||公司地址：上海市闸北区长安路1088号106室(邮编：200070)
德资企业 海外留学生创业计划（青岛）|青岛格兰瑞斯商贸有限公司|青岛-市南区|0.8-1万/月|06-12|民营公司  |  50-150人  |  贸易/进出口||公司地址：青岛市市北区泰山路35号创业中心1435(邮编：266000)
海外销售经理|深圳市鼎晖国际货运代理有限公司|深圳-龙岗区|0.5-2.5万/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：深圳罗湖区人民北路3092号物资大厦415-416室(邮编：518000)
海运货代海外销售(五险一金双休）|青岛海德昶盛国际物流有限公司|青岛-市南区|4-9千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：市南区国华大厦B座1801室(邮编：266000)
海外区域销售经理|深圳市七彩蜗牛科技有限公司|深圳-龙岗区|1-1.5万/月|06-12|民营公司  |  50-150人  |  贸易/进出口互联网/电子商务||公司地址：龙岗区南湾街道布澜路联创科技园一期八栋三楼（3号入口）(邮编：518114)
海外技术支持|成都天奥信息科技有限公司|成都||06-12|国企  |  150-500人  |  通信/电信/网络设备||公司地址：成都市高新西区新业路88号天奥产业园(邮编：611731)
房产销售（海外）|广东澳美家投资咨询有限公司|深圳-南山区|12-50万/年|06-12|民营公司  |  50-150人  |  房地产||公司地址：南山区深南大道9030号瑞思中心1001-1007(邮编：518053)
海外销售|深圳中启国际物流有限公司|深圳-龙华新区|3-5千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：深圳市龙华新区清龙路港之龙商务中心B座607室(邮编：518109)
Section Chief/海外客服|嘉宏国际运输代理有限公司宁波分公司|宁波|5-6千/月|06-12|外资（非欧美）  |  150-500人  |  交通/运输/物流贸易/进出口||公司地址：宁波市海曙区冷静街8号银亿时代广场11-1~11-4(邮编：315000)
海外销售经理|广州扬昊陶瓷有限公司|广州-白云区|1-1.5万/月|06-12|民营公司  |  少于50人  |  贸易/进出口||公司地址：白云区黄石东路99号宏域商务中心417(邮编：510000)
海外销售（柯桥）|宁波航晖运通国际物流有限公司|绍兴|0.4-2万/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：宁波市鄞州区中兴路775号天润商座C座1004室(邮编：315000)
石英石海外市场部经理|东源县弘源矿产品有限公司|广州-天河区|1.5-3万/月|06-12|民营公司  |  50-150人  |  石油/化工/矿产/地质||公司地址：河源市建设大道16号德润东方银座TEL：18924002622(邮编：510022)
海外事业部房产销售经理|诚信行物业管理集团|济南|4.5-6千/月|06-12|民营公司  |  1000-5000人  |  物业管理/商业中心||公司地址：山东省济南市经十路14713号诚信商务楼六楼(邮编：250014)
海外业务项目负责人|江苏大东钢板有限公司|无锡-江阴市|1-1.5万/月|06-12|民营公司  |  50-150人  |  原材料和加工||公司地址：江苏省江阴市石庄镇兴隆路7号(邮编：214446)
海外论坛社区推广 海外SNS推广|广州盛为电子商务有限公司|广州-白云区|0.8-1万/月|06-12|民营公司  |  少于50人  |  互联网/电子商务批发/零售||公司地址：白云区白云大道北广贸商务中心D202(邮编：510420)
海外销售|深圳市泰思科技术服务有限公司|深圳|15-20万/年|06-12|外资（非欧美）  |  500-1000人  |  通信/电信/网络设备电子技术/半导体/集成电路||公司地址：南山区北区新西路7号兰光科技园(邮编：518057)
海外营销SEO专员|杭州奇旦网络科技有限公司|杭州-拱墅区|0.8-1万/月|06-12|民营公司  |  50-150人  |  互联网/电子商务||公司地址：杭州拱墅区科园路55号天瑞国际8F(邮编：310003)
海外业务助理|深圳市金海联合国际物流有限公司|深圳|0.4-2万/月|06-12|外资（非欧美）  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：深圳市龙岗区布吉布龙路28号德勤创大厦1507室(邮编：518000)
销售助理/海外销售代表|上海都赛信息科技股份有限公司|上海|6-8千/月|06-12|合资  |  50-150人  |  专业服务(咨询、人力资源、财会)公关/市场推广/会展||公司地址：虹口区中山北一路1230号柏树大厦A区6F(邮编：200437)
海外销售工程师|深圳市驰骋信息科技有限公司|深圳-宝安区|6-8千/月|06-12|合资  |  50-150人  |  计算机软件互联网/电子商务||公司地址：深圳市宝安区西乡街道宝源路名优工业产品展示采购中心A605(邮编：000000)
海外销售助理|深圳美特联合国际物流有限公司|深圳-罗湖区|3-4.5千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：深圳市罗湖区东门街道人民北路3131号水产大厦三楼303A(邮编：518001)
海外秘书|全翔国际货运（中国）有限公司|上海-长宁区|4.5-6千/月|06-12|外资（非欧美）  |  50-150人  |  交通/运输/物流||公司地址：上海市长宁区仙霞路322号鑫达大厦2202室(邮编：200336)
海外业务员|深圳亚历山大国际货运代理有限公司|深圳-南山区|0.3-1.5万/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：深圳南山区创业路18号怡海广场东座1701(邮编：518000)
英语海外市场推广|成都德艺软件有限公司|成都-高新区|3.6-5千/月|06-12|民营公司  |  50-150人  |  计算机软件互联网/电子商务||公司地址：天府大道中段一号(邮编：610000)
海运销售（海外）|广州赫翼国际货运代理有限公司|广州|6-8千/月|06-12|民营公司  |  50-150人  |  交通/运输/物流||公司地址：广州市白云区机场路1718号悦成商务中心815-816室(邮编：510120)
销售代表/海外|深圳市科润斯科技有限公司|异地招聘|0.8-1万/月|06-12|民营公司  |  50-150人  |  服装/纺织/皮革机械/设备/重工||公司地址：宝安区西乡宝安智谷科技园H座225-228(邮编：518000)
资深海外客服|千禧国际货运代理（深圳）有限公司上海分公司|上海-虹口区|6-8千/月|06-12|外资（非欧美）  |  少于50人  |  交通/运输/物流互联网/电子商务||公司地址：上海市虹口区海宁路358号国际商厦商务楼主楼15楼A座(邮编：200080)
海外事业部项目经理|青岛三诚国际经济技术合作有限公司|青岛-黄岛区|3.5-5千/月|06-12|合资  |  50-150人  |  教育/培训/院校||公司地址：临港经济开发区泰发路318号(邮编：266610)
海外市场专员|深圳鼎付信息技术有限公司|深圳|0.6-1万/月|06-12|民营公司  |  50-150人  |  互联网/电子商务||公司地址：深圳市福田区滨河时代大厦A座25楼02单元(邮编：518000)
海外房产投资顾问|上海鹰携商务咨询有限公司|上海-黄浦区|3-4万/月|06-12|合资  |  少于50人  |  房地产金融/投资/证券||公司地址：黄浦区延安东路700号港泰广场20楼01室(邮编：200001)
海外网络推广专员（跨境电商）|贝展曼妙（上海）网络科技有限公司|深圳-龙岗区|0.6-1万/月|06-12|民营公司  |  少于50人  |  互联网/电子商务贸易/进出口||公司地址：上海市张衡路666弄盛大研发中心一号楼201室(邮编：200080)
海外指定货操作|厦门市嘉林国际货运代理有限公司上海分公司|上海|4.5-6千/月|06-12|合资  |  50-150人  |  交通/运输/物流||公司地址：上海市杨浦区昆明路739号文通大厦8楼(邮编：200082)
海外销售|广州海远国际物流有限公司深圳分公司|深圳-罗湖区|0.5-1.5万/月|06-12|外资（非欧美）  |  50-150人  |  交通/运输/物流||公司地址：深圳市罗湖区南湖街道南湖路NO3005国贸商业大厦13D(邮编：518000)
海外拓展销售|青岛尤金国际货运代理有限公司|青岛|4.5-6千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：市南区漳州二路9号中商广场1601室(邮编：266071)
海外销售经理|上海皇马国际物流有限公司|深圳-罗湖区|0.8-1万/月|06-12|民营公司  |  50-150人  |  交通/运输/物流||公司地址：上海市虹口区四平路277号福龙大厦25楼(邮编：200081)
海外联络|天津开发区益丰货运代理有限公司|天津-河西区|3-4.5千/月|06-12|民营公司  |  50-150人  |  交通/运输/物流||公司地址：河西区友谊北路51号合众大厦B-1604(邮编：300204)
海外置业顾问/投资顾问|陕西鑫诺置业咨询服务有限公司|西安-雁塔区|0.8-1万/月|06-12|民营公司  |  50-150人  |  房地产||公司地址：西安市西斜七路紫薇龙腾新世界1号楼1703室(邮编：710077)
海外销售经理|上海坤雅电子有限公司|上海-闵行区|6-8千/月|06-12|民营公司  |  50-150人  |  电子技术/半导体/集成电路||公司地址：上海市闵行区新骏环路245号E504室(邮编：201114)
海外发展|广州傲洋国际货运代理有限公司|广州|4.5-6千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：广州市天河区体育西路109号高盛大厦23B楼C单元(邮编：510620)
万科海外置业顾问|上海万科房地产有限公司|上海-闵行区|15-20万/年|06-12|民营公司  |  10000人以上  |  房地产||公司地址：申长路988弄虹桥万科中心(邮编：201105)
